Date,open,hight,low,close,volume,close_adj
"2012-01-04","8660","8700","8660","8660","348945","8660"
"2012-01-05","8620","8640","8600","8630","220179","8630"
"2012-01-06","8610","8620","8470","8510","284622","8510"
"2012-01-10","8530","8570","8530","8540","245405","8540"
"2012-01-11","8570","8580","8550","8550","151214","8550"
"2012-01-12","8540","8550","8490","8500","79026","8500"
"2012-01-13","8570","8640","8570","8630","350317","8630"
"2012-01-16","8530","8530","8470","8490","290006","8490"
"2012-01-17","8540","8600","8530","8600","217002","8600"
"2012-01-18","8590","8730","8570","8660","213576","8660"
"2012-01-19","8710","8800","8710","8770","460123","8770"
"2012-01-20","8860","8920","8850","8860","604198","8860"
"2012-01-23","8890","8920","8870","8900","168079","8900"
"2012-01-24","8930","8950","8890","8900","133725","8900"
"2012-01-25","8950","9040","8940","9010","267818","9010"
"2012-01-26","9010","9030","8960","8980","247339","8980"
"2012-01-27","8970","9020","8940","8970","385745","8970"
"2012-01-30","8940","8970","8900","8930","215530","8930"
"2012-01-31","8920","8960","8910","8950","204293","8950"
"2012-02-01","8910","8960","8910","8920","402351","8920"
"2012-02-02","8990","9030","8990","9010","426484","9010"
"2012-02-03","8970","9000","8950","8970","166422","8970"
"2012-02-06","9080","9090","9040","9060","282701","9060"
"2012-02-07","9040","9060","9010","9030","183383","9030"
"2012-02-08","9080","9140","9080","9140","448416","9140"
"2012-02-09","9120","9150","9070","9130","283116","9130"
"2012-02-10","9150","9150","9080","9100","140530","9100"
"2012-02-13","9080","9150","9070","9140","145720","9140"
"2012-02-14","9120","9210","9100","9180","287767","9180"
"2012-02-15","9240","9450","9240","9390","804884","9390"
"2012-02-16","9370","9440","9350","9360","264898","9360"
"2012-02-17","9540","9570","9510","9530","466189","9530"
"2012-02-20","9680","9700","9600","9610","558440","9610"
"2012-02-21","9600","9660","9580","9630","275294","9630"
"2012-02-22","9620","9700","9580","9700","363927","9700"
"2012-02-23","9700","9750","9650","9720","255844","9720"
"2012-02-24","9730","9790","9710","9780","433303","9780"
"2012-02-27","9860","9890","9750","9760","530328","9760"
"2012-02-28","9700","9910","9670","9910","403776","9910"
"2012-02-29","9920","10020","9850","9850","685820","9850"
"2012-03-01","9920","10010","9820","9850","459531","9850"
"2012-03-02","9940","9960","9870","9930","257516","9930"
"2012-03-05","9910","9940","9820","9840","291549","9840"
"2012-03-06","9850","9890","9750","9790","452044","9790"
"2012-03-07","9660","9750","9660","9710","521019","9710"
"2012-03-08","9820","9910","9810","9910","391816","9910"
"2012-03-09","10030","10170","10000","10040","1052715","10040"
"2012-03-12","10190","10190","10030","10030","372076","10030"
"2012-03-13","10080","10160","10030","10060","450033","10060"
"2012-03-14","10230","10270","10210","10260","466840","10260"
"2012-03-15","10270","10310","10230","10280","330632","10280"
"2012-03-16","10260","10300","10240","10290","213597","10290"
"2012-03-19","10310","10330","10290","10310","111594","10310"
"2012-03-21","10270","10300","10230","10240","238768","10240"
"2012-03-22","10210","10300","10210","10270","141446","10270"
"2012-03-23","10160","10190","10150","10160","242336","10160"
"2012-03-26","10180","10210","10160","10170","438548","10170"
"2012-03-27","10310","10430","10300","10430","654176","10430"
