Date,open,hight,low,close,volume,close_adj
"2009-01-05","9320","9340","9170","9190","477645","9190"
"2009-01-06","9340","9360","9180","9200","474426","9200"
"2009-01-07","9290","9490","9280","9390","784929","9390"
"2009-01-08","9160","9220","9010","9010","1065245","9010"
"2009-01-09","9060","9110","8930","8990","1017708","8990"
"2009-01-13","8660","8660","8540","8550","1102988","8550"
"2009-01-14","8540","8670","8510","8520","704269","8520"
"2009-01-15","8230","8300","8140","8200","1429322","8200"
"2009-01-16","8300","8430","8210","8390","698661","8390"
"2009-01-19","8480","8500","8360","8420","375961","8420"
"2009-01-20","8310","8320","8100","8210","1345642","8210"
"2009-01-21","7990","8160","7960","8060","823348","8060"
"2009-01-22","8150","8200","7960","8190","1449644","8190"
"2009-01-23","8090","8090","7880","7890","1513707","7890"
"2009-01-26","7880","7950","7730","7740","1792329","7740"
"2009-01-27","7970","8260","7940","8220","820651","8220"
"2009-01-28","8190","8330","8070","8270","675167","8270"
"2009-01-29","8410","8460","8280","8330","1013980","8330"
"2009-01-30","8190","8190","8060","8110","885125","8110"
"2009-02-02","7990","8110","7940","8010","725085","8010"
"2009-02-03","8000","8250","7930","7930","818315","7930"
"2009-02-04","8050","8230","8010","8160","659652","8160"
"2009-02-05","8090","8250","8040","8090","608944","8090"
"2009-02-06","8290","8330","8180","8210","1205318","8210"
"2009-02-09","8390","8430","8060","8070","754293","8070"
"2009-02-10","8250","8290","8060","8110","599183","8110"
"2009-02-12","7960","8010","7830","7910","1135395","7910"
"2009-02-13","7960","8040","7880","7910","586546","7910"
"2009-02-16","7880","7950","7840","7870","687780","7870"
"2009-02-17","7830","7860","7760","7810","817303","7810"
"2009-02-18","7650","7760","7620","7750","827453","7750"
"2009-02-19","7760","7790","7690","7700","373267","7700"
"2009-02-20","7700","7710","7530","7540","1126893","7540"
"2009-02-23","7400","7570","7350","7540","1124168","7540"
"2009-02-24","7350","7460","7300","7460","687924","7460"
"2009-02-25","7610","7630","7470","7610","749957","7610"
"2009-02-26","7600","7740","7570","7590","508702","7590"
"2009-02-27","7600","7740","7560","7720","1223176","7720"
"2009-03-02","7470","7520","7380","7410","1111021","7410"
"2009-03-03","7260","7440","7230","7360","1197098","7360"
"2009-03-04","7280","7470","7250","7410","745907","7410"
"2009-03-05","7510","7690","7480","7560","1029924","7560"
"2009-03-06","7370","7430","7300","7320","848636","7320"
"2009-03-09","7330","7380","7180","7200","997139","7200"
"2009-03-10","7200","7250","7170","7210","532221","7210"
"2009-03-11","7460","7550","7440","7530","1329281","7530"
"2009-03-12","7490","7500","7300","7300","527233","7300"
"2009-03-13","7580","7730","7580","7730","1122023","7730"
"2009-03-16","7770","7910","7770","7880","842447","7880"
"2009-03-17","7920","8130","7870","8120","1596772","8120"
"2009-03-18","8160","8210","8040","8110","939902","8110"
"2009-03-19","8150","8190","8050","8080","847221","8080"
"2009-03-23","8090","8400","8080","8400","1201203","8400"
"2009-03-24","8600","8670","8440","8610","1552229","8610"
"2009-03-25","8650","8710","8550","8630","717022","8630"
"2009-03-26","8670","8920","8610","8920","931771","8920"
"2009-03-27","8910","9060","8820","8820","1110297","8820"
"2009-03-30","8820","8860","8410","8420","712305","8420"
"2009-03-31","8400","8610","8280","8340","865254","8340"
"2009-04-01","8420","8620","8310","8590","960122","8590"
"2009-04-02","8770","8990","8670","8910","1641728","8910"
"2009-04-03","9100","9130","8920","8940","1105087","8940"
"2009-04-06","9150","9230","9050","9110","857520","9110"
"2009-04-07","9070","9130","9010","9100","550782","9100"
"2009-04-08","8950","8970","8790","8810","663380","8810"
"2009-04-09","8910","9170","8910","9150","804906","9150"
"2009-04-10","9300","9320","9080","9190","909065","9190"
"2009-04-13","9180","9260","9110","9120","415902","9120"
"2009-04-14","9220","9220","8980","9060","790316","9060"
"2009-04-15","9000","9030","8910","8960","601561","8960"
"2009-04-16","9110","9270","8950","8970","936872","8970"
"2009-04-17","9140","9190","9060","9150","698880","9150"
"2009-04-20","9120","9170","9040","9150","859166","9150"
"2009-04-21","8920","9000","8840","8980","763306","8980"
"2009-04-22","9020","9040","8910","9000","310989","9000"
"2009-04-23","9010","9100","8880","9060","461172","9060"
"2009-04-24","9070","9080","8920","8950","434969","8950"
"2009-04-27","9040","9070","8880","8960","446066","8960"
"2009-04-28","8930","9040","8720","8740","791673","8740"
"2009-04-30","8980","9090","8980","9090","914857","9090"
"2009-05-01","9090","9280","9060","9240","700870","9240"
"2009-05-07","9610","9640","9520","9570","905142","9570"
"2009-05-08","9610","9700","9580","9670","881073","9670"
"2009-05-11","9690","9730","9570","9680","484470","9680"
"2009-05-12","9580","9620","9530","9560","427761","9560"
"2009-05-13","9560","9610","9500","9590","203282","9590"
"2009-05-14","9390","9390","9280","9340","791324","9340"
"2009-05-15","9390","9500","9380","9500","499414","9500"
"2009-05-18","9340","9340","9220","9320","676734","9320"
"2009-05-19","9570","9570","9490","9520","428746","9520"
"2009-05-20","9600","9640","9540","9550","475859","9550"
"2009-05-21","9520","9520","9410","9520","439582","9520"
"2009-05-22","9350","9500","9340","9470","397925","9470"
"2009-05-25","9490","9630","9490","9550","461619","9550"
"2009-05-26","9600","9610","9460","9570","382853","9570"
"2009-05-27","9680","9730","9630","9640","437949","9640"
"2009-05-28","9590","9730","9580","9690","382624","9690"
"2009-05-29","9750","9750","9670","9730","436598","9730"
"2009-06-01","9750","9940","9720","9930","526132","9930"
"2009-06-02","10040","10050","9930","9950","697455","9950"
"2009-06-03","9960","10010","9950","9990","434772","9990"
